"Region Code","Region","Commodity description","Estimate","Number of agricultural businesses","Type","Category","Process"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
1,"New South Wales","Water source - Total volume of water from all sources (ML) (b)","1410463.68","12016.44","Water source","",""
1,"New South Wales","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","368421.52","1428.96","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
1,"New South Wales","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","50177.24","4766.83","Water source"," Water taken from on farm dams or tanks","Total volume used (ML)"
1,"New South Wales","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","310922.6","3150.86","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
1,"New South Wales","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","284222.21","1376.6","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
1,"New South Wales","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","26700.39","1805.05","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
1,"New South Wales","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","662881.76","4798.81","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
1,"New South Wales","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","10274.88","129.8","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
1,"New South Wales","Water source - Town or reticulated mains supply - Total volume used (ML)","6125.03","858.06","Water source","Town or reticulated mains supply ","Total volume used (ML)"
1,"New South Wales","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","1660.65","36.79","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
101,"Central Tablelands","Water source - Total volume of water from all sources (ML) (b)","48936.38","817.07","Water source","",""
101,"Central Tablelands","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","2108.03","260.64","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
101,"Central Tablelands","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","14446.8","204.52","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
101,"Central Tablelands","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","12723","59.13","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
101,"Central Tablelands","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","1723.81","145.39","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
101,"Central Tablelands","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","30917.83","518.86","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
101,"Central Tablelands","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","12.06","1.21","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
101,"Central Tablelands","Water source - Town or reticulated mains supply - Total volume used (ML)","1404.4","42.02","Water source","Town or reticulated mains supply ","Total volume used (ML)"
101,"Central Tablelands","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","47.26","5","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
102,"Central West","Water source - Total volume of water from all sources (ML) (b)","83679.93","1331.71","Water source","",""
102,"Central West","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","6578.08","52.64","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
102,"Central West","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","4272.94","587.29","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
102,"Central West","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","10539.91","210.16","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
102,"Central West","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","9401.81","117.44","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
102,"Central West","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","1138.1","92.72","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
102,"Central West","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","59199.37","699.33","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
102,"Central West","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","2958.52","5.55","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
102,"Central West","Water source - Town or reticulated mains supply - Total volume used (ML)","123.01","38.86","Water source","Town or reticulated mains supply ","Total volume used (ML)"
102,"Central West","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","8.1","8.1","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
103,"Greater Sydney","Water source - Total volume of water from all sources (ML) (b)","25869.66","964.58","Water source","",""
103,"Greater Sydney","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","262.15","33.56","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
103,"Greater Sydney","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","6375.18","604.34","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
103,"Greater Sydney","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","15418.37","169.11","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
103,"Greater Sydney","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","9841.04","102.02","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
103,"Greater Sydney","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","5577.34","68.38","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
103,"Greater Sydney","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","1357.24","139.81","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
103,"Greater Sydney","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","1324.32","16.11","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
103,"Greater Sydney","Water source - Town or reticulated mains supply - Total volume used (ML)","1076.81","279.69","Water source","Town or reticulated mains supply ","Total volume used (ML)"
103,"Greater Sydney","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","55.58","9.43","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
104,"Hunter","Water source - Total volume of water from all sources (ML) (b)","98235.57","915.17","Water source","",""
104,"Hunter","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","4888.97","85.47","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
104,"Hunter","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","3345.13","333.75","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
104,"Hunter","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","75628.28","474.24","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
104,"Hunter","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","73128.58","339.94","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
104,"Hunter","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","2499.7","159.23","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
104,"Hunter","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","13568.18","296.91","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
104,"Hunter","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","517.48","21.41","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
104,"Hunter","Water source - Town or reticulated mains supply - Total volume used (ML)","287.52","34.22","Water source","Town or reticulated mains supply ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
105,"Murray","Water source - Total volume of water from all sources (ML) (b)","212595.12","1102.03","Water source","",""
105,"Murray","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","70853.41","415.86","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
105,"Murray","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","1832.88","229.92","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
105,"Murray","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","49933.84","305.31","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
105,"Murray","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","48662.86","189.88","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
105,"Murray","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","1270.99","115.43","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
105,"Murray","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","87316.28","383.8","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
105,"Murray","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","1113.79","21.34","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
105,"Murray","Water source - Town or reticulated mains supply - Total volume used (ML)","650.91","34.88","Water source","Town or reticulated mains supply ","Total volume used (ML)"
105,"Murray","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","894","1","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
106,"North Coast","Water source - Total volume of water from all sources (ML) (b)","28315.43","1431.4","Water source","",""
106,"North Coast","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","973.9","24.94","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
106,"North Coast","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","9178.86","810.05","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
106,"North Coast","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","8906.11","459.43","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
106,"North Coast","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","3981.15","130.67","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
106,"North Coast","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","4924.96","329.76","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
106,"North Coast","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","7242.31","335.12","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
106,"North Coast","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","1092.22","27.78","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
106,"North Coast","Water source - Town or reticulated mains supply - Total volume used (ML)","382.04","139","Water source","Town or reticulated mains supply ","Total volume used (ML)"
106,"North Coast","Water source - Other sources of water (excluding rainfall) - Total volume used (ML)","540","2","Water source","Other sources of water (excluding rainfall) ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
108,"North West NSW","Water source - Total volume of water from all sources (ML) (b)","206943.13","1105.38","Water source","",""
108,"North West NSW","Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML)","7754.99","6.24","Water source"," Water taken from irrigation channels or irrigation pipelines ","Total volume used (ML)"
108,"North West NSW","Water source - Water taken from on-farm dams or tanks - Total volume used (ML)","7953.04","255.48","Water source","Water taken from on farm dams or tanks","Total volume used (ML)"
108,"North West NSW","Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","25085.81","194.93","Water source","Water taken from rivers, creeks, lakes, etc. ","Total volume used (ML)"
108,"North West NSW","Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","24373.98","79.76","Water source","Water taken from rivers, creeks, lakes, etc. ","Where a volumetric/usage charge occurs - Total volume used (ML)"
108,"North West NSW","Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","711.84","118.74","Water source","Water taken from rivers, creeks, lakes, etc. ","Where there is no volumetric/usage charge - Total volume used (ML)"
108,"North West NSW","Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","165808.11","828.41","Water source","Groundwater (e.g. bores, springs, wells) ","Total volume used (ML)"
108,"North West NSW","Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","321.1","2","Water source","Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ","Total volume used (ML)"
108,"North West NSW","Water source - Town or reticulated mains supply - Total volume used (ML)","20.08","9.76","Water source","Town or reticulated mains supply ","Total volume used (ML)"
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
NA,NA,NA,NA,NA,"Water source",NA,NA
