Region code,Region label,Commodity description,Estimate,Number of agricultural businesses,Type,Category,Process
0,Australia,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",2356057.57,25681.28,Water use ," Pastures (including lucerne), cereal and other crops cut for hay and silage ",Total area grown (ha)
0,Australia,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),187905.4,3458.64,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Area watered (ha)
0,Australia,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),589213.4,3458.64,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Volume applied (ML)
0,Australia,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),3.14,..,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Application rate (ML/ha)
0,Australia,Water use - Vegetables - Total area grown (ha),105145.77,3605.12,Water use ,Vegetables ,Total area grown (ha)
0,Australia,Water use - Vegetables - Area watered (ha),87332.18,2993.07,Water use ,Vegetables ,Area watered (ha)
0,Australia,Water use - Vegetables - Volume applied (ML),356272.36,2993.07,Water use ,Vegetables ,Volume applied (ML)
0,Australia,Water use - Vegetables - Application rate (ML/ha),4.08,..,Water use ,Vegetables ,Application rate (ML/ha)
0,Australia,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",200345.95,5748.76,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Total area grown (ha)
0,Australia,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",172790,4230.48,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Area watered (ha)
0,Australia,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",1071134.34,4230.48,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Volume applied (ML)
0,Australia,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",6.2,..,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Application rate (ML/ha)
0,Australia,Water use - Grapevines - Total area grown (ha),136220.7,4087.46,Water use ,Grapevines ,Total area grown (ha)
0,Australia,Water use - Grapevines - Area watered (ha),123986.51,3564.12,Water use ,Grapevines ,Area watered (ha)
0,Australia,Water use - Grapevines - Volume applied (ML),469295.85,3564.12,Water use ,Grapevines ,Volume applied (ML)
0,Australia,Water use - Grapevines - Application rate (ML/ha),3.79,..,Water use ,Grapevines ,Application rate (ML/ha)
0,Australia,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",15080.3,1954.39,Water use ,"Nurseries, cut flowers and cultivated turf ",Total area grown (ha)
0,Australia,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",11085.67,1446.13,Water use ,"Nurseries, cut flowers and cultivated turf ",Area watered (ha)
0,Australia,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",48939.06,1446.13,Water use ,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML)
0,Australia,"Water use - Nurseries, cut flowers and cultivated turf - Application rate (ML/ha)",4.41,..,Water use ,"Nurseries, cut flowers and cultivated turf ",Application rate (ML/ha)
0,Australia,Water use - Rice - Total area grown (ha),5007.19,92.17,Water use ,Rice ,Total area grown (ha)
0,Australia,Water use - Rice - Area watered (ha),5007.19,92.17,Water use ,Rice ,Area watered (ha)
0,Australia,Water use - Rice - Volume applied (ML),61033.39,92.17,Water use ,Rice ,Volume applied (ML)
0,Australia,Water use - Rice - Application rate (ML/ha),12.19,..,Water use ,Rice ,Application rate (ML/ha)
0,Australia,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",16118163.16,23062.16,Water use ,"Cereals for grain or seed, excluding rice ",Total area grown (ha)
0,Australia,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)",158805.57,968.97,Water use ,"Cereals for grain or seed, excluding rice ",Area watered (ha)
0,Australia,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)",381317.49,968.97,Water use ,"Cereals for grain or seed, excluding rice ",Volume applied (ML)
0,Australia,"Water use - Cereals for grain or seed, excluding rice - Application rate (ML/ha)",2.4,..,Water use ,"Cereals for grain or seed, excluding rice ",Application rate (ML/ha)
0,Australia,Water use - Cotton - Total area grown (ha) (c),69885.71,312.71,Water use ,Cotton , Total area grown (ha) (c)
0,Australia,Water use - Cotton - Area watered (ha),54864.7,279.14,Water use ,Cotton ,Area watered (ha)
0,Australia,Water use - Cotton - Volume applied (ML),379601,279.14,Water use ,Cotton ,Volume applied (ML)
0,Australia,Water use - Cotton - Application rate (ML/ha),6.92,..,Water use ,Cotton ,Application rate (ML/ha)
0,Australia,Water use - Sugar cane - Total area grown (ha) (d),404167.55,3189.91,Water use ,Sugar cane ,Total area grown (ha) (d)
0,Australia,Water use - Sugar cane - Area watered (ha),189279.33,1553.16,Water use ,Sugar cane ,Area watered (ha)
0,Australia,Water use - Sugar cane - Volume applied (ML),886877.96,1553.16,Water use ,Sugar cane ,Volume applied (ML)
0,Australia,Water use - Sugar cane - Application rate (ML/ha),4.69,..,Water use ,Sugar cane ,Application rate (ML/ha)
0,Australia,Water use - Other crops n.e.c. - Total area grown (ha) (e),4479498.7,14318.35,Water use ,Other crops n.e.c.,Total area grown (ha) (e)
0,Australia,Water use - Other crops n.e.c. - Area watered (ha),69211.62,773.46,Water use ,Other crops n.e.c.,Area watered (ha)
0,Australia,Water use - Other crops n.e.c. - Volume applied (ML),157301.61,773.46,Water use ,Other crops n.e.c.,Volume applied (ML)
0,Australia,Water use - Other crops n.e.c. - Application rate (ML/ha),2.27,..,Water use ,Other crops n.e.c.,Application rate (ML/ha)
1,New South Wales,Area of holding - Total area (ha) (a),51279789.72,26559.28,Area of holding ,,
1,New South Wales,Number of agricultural businesses (no.),26559.28,26559.28,,,
1,New South Wales,Number of agricultural businesses irrigating (no.),4663.75,4663.75,,,
1,New South Wales,Water source - Total volume of water from all sources (ML) (b),1410463.68,12016.44,Water source ,,
1,New South Wales,Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML),368421.52,1428.96,Water source , Water taken from irrigation channels or irrigation pipelines ,Total volume used (ML)
1,New South Wales,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),50177.24,4766.83,Water source , Water taken from on farm dams or tanks,Total volume used (ML)
1,New South Wales,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",310922.6,3150.86,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Total volume used (ML)
1,New South Wales,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)",284222.21,1376.6,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Where a volumetric/usage charge occurs - Total volume used (ML)
1,New South Wales,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)",26700.39,1805.05,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Where there is no volumetric/usage charge - Total volume used (ML)
1,New South Wales,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",662881.76,4798.81,Water source ,"Groundwater (e.g. bores, springs, wells) ",Total volume used (ML)
1,New South Wales,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)",10274.88,129.8,Water source ,"Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ",Total volume used (ML)
1,New South Wales,Water source - Town or reticulated mains supply - Total volume used (ML),6125.03,858.06,Water source ,Town or reticulated mains supply ,Total volume used (ML)
1,New South Wales,Water source - Other sources of water (excluding rainfall) - Total volume used (ML),1660.65,36.79,Water source ,Other sources of water (excluding rainfall) ,Total volume used (ML)
1,New South Wales,Water use - Total area watered (ha),365425.24,4663.75,Water use ,,
1,New South Wales,Water use - Total volume applied (ML),1280943.85,4663.75,Water use ,,
1,New South Wales,Water use - Total application rate (ML/ha),3.51,..,Water use ,,
1,New South Wales,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),40002333.62,21483.97,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Total area grown (ha)
1,New South Wales,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),94151,1124.16,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Area watered (ha)
1,New South Wales,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),187102.42,1124.16,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Volume applied (ML)
1,New South Wales,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),1.99,..,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Application rate (ML/ha)
1,New South Wales,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",532862.38,5057.02,Water use ," Pastures (including lucerne), cereal and other crops cut for hay and silage ",Total area grown (ha)
1,New South Wales,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),46644.52,807.5,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Area watered (ha)
1,New South Wales,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),137380.07,807.5,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Volume applied (ML)
1,New South Wales,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),2.95,..,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Application rate (ML/ha)
1,New South Wales,Water use - Vegetables - Total area grown (ha),10200.19,841.84,Water use ,Vegetables ,Total area grown (ha)
1,New South Wales,Water use - Vegetables - Area watered (ha),8066.19,705.82,Water use ,Vegetables ,Area watered (ha)
1,New South Wales,Water use - Vegetables - Volume applied (ML),34845.18,705.82,Water use ,Vegetables ,Volume applied (ML)
1,New South Wales,Water use - Vegetables - Application rate (ML/ha),4.32,..,Water use ,Vegetables ,Application rate (ML/ha)
1,New South Wales,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",50037.47,1846.76,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Total area grown (ha)
1,New South Wales,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",38380.5,1105.84,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Area watered (ha)
1,New South Wales,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",213063.67,1105.84,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Volume applied (ML)
1,New South Wales,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",5.55,..,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Application rate (ML/ha)
1,New South Wales,Water use - Grapevines - Total area grown (ha),32191.95,723.67,Water use ,Grapevines ,Total area grown (ha)
1,New South Wales,Water use - Grapevines - Area watered (ha),27748.28,658.16,Water use ,Grapevines ,Area watered (ha)
1,New South Wales,Water use - Grapevines - Volume applied (ML),134885.79,658.16,Water use ,Grapevines ,Volume applied (ML)
1,New South Wales,Water use - Grapevines - Application rate (ML/ha),4.86,..,Water use ,Grapevines ,Application rate (ML/ha)
1,New South Wales,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",4045,633.14,Water use ,"Nurseries, cut flowers and cultivated turf ",Total area grown (ha)
1,New South Wales,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",3193.42,467.92,Water use ,"Nurseries, cut flowers and cultivated turf ",Area watered (ha)
1,New South Wales,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",11842.27,467.92,Water use ,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML)
1,New South Wales,"Water use - Nurseries, cut flowers and cultivated turf - Application rate (ML/ha)",3.71,..,Water use ,"Nurseries, cut flowers and cultivated turf ",Application rate (ML/ha)
1,New South Wales,Water use - Rice - Total area grown (ha),4247.1,85.58,Water use ,Rice ,Total area grown (ha)
1,New South Wales,Water use - Rice - Area watered (ha),4247.1,85.58,Water use ,Rice ,Area watered (ha)
1,New South Wales,Water use - Rice - Volume applied (ML),54621.49,85.58,Water use ,Rice ,Volume applied (ML)
1,New South Wales,Water use - Rice - Application rate (ML/ha),12.86,..,Water use ,Rice ,Application rate (ML/ha)
1,New South Wales,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",3402802.4,7075.62,Water use ,"Cereals for grain or seed, excluding rice ",Total area grown (ha)
1,New South Wales,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)",86271.72,436.8,Water use ,"Cereals for grain or seed, excluding rice ",Area watered (ha)
1,New South Wales,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)",216307.65,436.8,Water use ,"Cereals for grain or seed, excluding rice ",Volume applied (ML)
1,New South Wales,"Water use - Cereals for grain or seed, excluding rice - Application rate (ML/ha)",2.51,..,Water use ,"Cereals for grain or seed, excluding rice ",Application rate (ML/ha)
1,New South Wales,Water use - Cotton - Total area grown (ha) (c),54629.43,222.72,Water use ,Cotton , Total area grown (ha) (c)
1,New South Wales,Water use - Cotton - Area watered (ha),39808.41,189.15,Water use ,Cotton ,Area watered (ha)
1,New South Wales,Water use - Cotton - Volume applied (ML),263721.27,189.15,Water use ,Cotton ,Volume applied (ML)
1,New South Wales,Water use - Cotton - Application rate (ML/ha),6.62,..,Water use ,Cotton ,Application rate (ML/ha)
1,New South Wales,Water use - Sugar cane - Total area grown (ha) (d),21607.74,264.53,Water use ,Sugar cane ,Total area grown (ha) (d)
1,New South Wales,Water use - Sugar cane - Area watered (ha),473.24,24.19,Water use ,Sugar cane ,Area watered (ha)
1,New South Wales,Water use - Sugar cane - Volume applied (ML),2214.98,24.19,Water use ,Sugar cane ,Volume applied (ML)
1,New South Wales,Water use - Sugar cane - Application rate (ML/ha),4.68,..,Water use ,Sugar cane ,Application rate (ML/ha)
1,New South Wales,Water use - Other crops n.e.c. - Total area grown (ha) (e),792163.87,3916.41,Water use ,Other crops n.e.c.,Total area grown (ha) (e)
1,New South Wales,Water use - Other crops n.e.c. - Area watered (ha),16440.86,114.15,Water use ,Other crops n.e.c.,Area watered (ha)
1,New South Wales,Water use - Other crops n.e.c. - Volume applied (ML),24959.05,114.15,Water use ,Other crops n.e.c.,Volume applied (ML)
1,New South Wales,Water use - Other crops n.e.c. - Application rate (ML/ha),1.52,..,Water use ,Other crops n.e.c.,Application rate (ML/ha)
101,Central Tablelands,Area of holding - Total area (ha) (a),1452965.73,2309.44,Area of holding ,,
101,Central Tablelands,Number of agricultural businesses (no.),2309.44,2309.44,,,
101,Central Tablelands,Number of agricultural businesses irrigating (no.),216.35,216.35,,,
101,Central Tablelands,Water source - Total volume of water from all sources (ML) (b),48936.38,817.07,Water source ,,
101,Central Tablelands,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),2108.03,260.64,Water source ,Water taken from on farm dams or tanks,Total volume used (ML)
101,Central Tablelands,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",14446.8,204.52,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Total volume used (ML)
101,Central Tablelands,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)",12723,59.13,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Where a volumetric/usage charge occurs - Total volume used (ML)
101,Central Tablelands,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)",1723.81,145.39,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Where there is no volumetric/usage charge - Total volume used (ML)
101,Central Tablelands,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",30917.83,518.86,Water source ,"Groundwater (e.g. bores, springs, wells) ",Total volume used (ML)
101,Central Tablelands,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)",12.06,1.21,Water source ,"Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ",Total volume used (ML)
101,Central Tablelands,Water source - Town or reticulated mains supply - Total volume used (ML),1404.4,42.02,Water source ,Town or reticulated mains supply ,Total volume used (ML)
101,Central Tablelands,Water source - Other sources of water (excluding rainfall) - Total volume used (ML),47.26,5,Water source ,Other sources of water (excluding rainfall) ,Total volume used (ML)
101,Central Tablelands,Water use - Total area watered (ha),10515.49,216.35,Water use ,,
101,Central Tablelands,Water use - Total volume applied (ML),39563.71,216.35,Water use ,,
101,Central Tablelands,Water use - Total application rate (ML/ha),3.76,..,Water use ,,
101,Central Tablelands,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),1150316.48,2061.39,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Total area grown (ha)
101,Central Tablelands,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),382.58,17.92,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Area watered (ha)
101,Central Tablelands,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),1178.73,17.92,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Volume applied (ML)
101,Central Tablelands,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),3.08,..,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Application rate (ML/ha)
101,Central Tablelands,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",32476.08,513.23,Water use ," Pastures (including lucerne), cereal and other crops cut for hay and silage ",Total area grown (ha)
101,Central Tablelands,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),5320.86,80.35,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Area watered (ha)
101,Central Tablelands,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),23580.18,80.35,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Volume applied (ML)
101,Central Tablelands,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),4.43,..,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage ,Application rate (ML/ha)
101,Central Tablelands,Water use - Vegetables - Total area grown (ha),1497.8,25.83,Water use ,Vegetables ,Total area grown (ha)
101,Central Tablelands,Water use - Vegetables - Area watered (ha),1211.08,13.32,Water use ,Vegetables ,Area watered (ha)
101,Central Tablelands,Water use - Vegetables - Volume applied (ML),5932.76,13.32,Water use ,Vegetables ,Volume applied (ML)
101,Central Tablelands,Water use - Vegetables - Application rate (ML/ha),4.9,..,Water use ,Vegetables ,Application rate (ML/ha)
101,Central Tablelands,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",1396.96,109.95,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Total area grown (ha)
101,Central Tablelands,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",1084.53,69.36,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Area watered (ha)
101,Central Tablelands,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",4196.47,69.36,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Volume applied (ML)
101,Central Tablelands,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",3.87,..,Water use ,"Fruit trees, nut trees, plantation or berry fruits ",Application rate (ML/ha)
101,Central Tablelands,Water use - Grapevines - Total area grown (ha),2594.28,114.89,Water use ,Grapevines ,Total area grown (ha)
101,Central Tablelands,Water use - Grapevines - Area watered (ha),1872.43,101.95,Water use ,Grapevines ,Area watered (ha)
101,Central Tablelands,Water use - Grapevines - Volume applied (ML),3135.65,101.95,Water use ,Grapevines ,Volume applied (ML)
101,Central Tablelands,Water use - Grapevines - Application rate (ML/ha),1.67,..,Water use ,Grapevines ,Application rate (ML/ha)
101,Central Tablelands,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",111.65,9.81,Water use ,"Nurseries, cut flowers and cultivated turf ",Total area grown (ha)
101,Central Tablelands,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",111.32,8.71,Water use ,"Nurseries, cut flowers and cultivated turf ",Area watered (ha)
101,Central Tablelands,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",457.66,8.71,Water use ,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML)
101,Central Tablelands,"Water use - Nurseries, cut flowers and cultivated turf - Application rate (ML/ha)",4.11,..,Water use ,"Nurseries, cut flowers and cultivated turf ",Application rate (ML/ha)
101,Central Tablelands,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",86086.92,665.39,Water use ,"Cereals for grain or seed, excluding rice ",Total area grown (ha)
101,Central Tablelands,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)",509.4,17.86,Water use ,"Cereals for grain or seed, excluding rice ",Area watered (ha)
101,Central Tablelands,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)",1031.54,17.86,Water use ,"Cereals for grain or seed, excluding rice ",Volume applied (ML)
101,Central Tablelands,"Water use - Cereals for grain or seed, excluding rice - Application rate (ML/ha)",2.03,..,Water use ,"Cereals for grain or seed, excluding rice ",Application rate (ML/ha)
101,Central Tablelands,Water use - Other crops n.e.c. - Total area grown (ha) (e),49612.94,423.76,Water use ,Other crops n.e.c.,Total area grown (ha) (e)
101,Central Tablelands,Water use - Other crops n.e.c. - Area watered (ha),23.29,2.59,Water use ,Other crops n.e.c.,Area watered (ha)
101,Central Tablelands,Water use - Other crops n.e.c. - Volume applied (ML),50.71,2.59,Water use ,Other crops n.e.c.,Volume applied (ML)
101,Central Tablelands,Water use - Other crops n.e.c. - Application rate (ML/ha),2.18,..,Water use ,Other crops n.e.c.,Application rate (ML/ha)
102,Central West,Area of holding - Total area (ha) (a),7140158,3464.56,Area of holding ,,
102,Central West,Number of agricultural businesses (no.),3464.56,3464.56,,,
102,Central West,Number of agricultural businesses irrigating (no.),185.45,185.45,,,
102,Central West,Water source - Total volume of water from all sources (ML) (b),83679.93,1331.71,Water source ,,
102,Central West,Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML),6578.08,52.64,Water source , Water taken from irrigation channels or irrigation pipelines ,Total volume used (ML)
102,Central West,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),4272.94,587.29,Water source ,Water taken from on farm dams or tanks,Total volume used (ML)
102,Central West,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",10539.91,210.16,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Total volume used (ML)
102,Central West,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)",9401.81,117.44,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Where a volumetric/usage charge occurs - Total volume used (ML)
102,Central West,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)",1138.1,92.72,Water source ,"Water taken from rivers, creeks, lakes, etc. ",Where there is no volumetric/usage charge - Total volume used (ML)
102,Central West,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",59199.37,699.33,Water source ,"Groundwater (e.g. bores, springs, wells) ",Total volume used (ML)
102,Central West,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)",2958.52,5.55,Water source ,"Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) ",Total volume used (ML)
102,Central West,Water source - Town or reticulated mains supply - Total volume used (ML),123.01,38.86,Water source ,Town or reticulated mains supply ,Total volume used (ML)
102,Central West,Water source - Other sources of water (excluding rainfall) - Total volume used (ML),8.1,8.1,Water source ,Other sources of water (excluding rainfall) ,Total volume used (ML)
102,Central West,Water use - Total area watered (ha),16981.16,185.45,Water use ,,
102,Central West,Water use - Total volume applied (ML),68931,185.45,Water use ,,
102,Central West,Water use - Total application rate (ML/ha),4.06,..,Water use ,,
102,Central West,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),4077025.09,3117.32,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Total area grown (ha)
102,Central West,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),3437.4,61.1,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Area watered (ha)
102,Central West,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),11107.94,61.1,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Volume applied (ML)
102,Central West,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),3.23,..,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off ,Application rate (ML/ha)
