"Region Code","Region","Commodity description","Estimate","Number of agricultural businesses","Type","Category","Process"
1,"New South Wales","Water use - Grapevines - Total area grown (ha)","32191.95","723.67","Water use","Grapevines ","Total area grown (ha)"
1,"New South Wales","Water use - Grapevines - Area watered (ha)","27748.28","658.16","Water use","Grapevines ","Area watered (ha)"
1,"New South Wales","Water use - Grapevines - Volume applied (ML)","134885.79","658.16","Water use","Grapevines ","Volume applied (ML)"
1,"New South Wales","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","4045","633.14","Water use","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
1,"New South Wales","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","3193.42","467.92","Water use","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
1,"New South Wales","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","11842.27","467.92","Water use","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
1,"New South Wales","Water use - Rice - Total area grown (ha)","4247.1","85.58","Water use","Rice ","Total area grown (ha)"
1,"New South Wales","Water use - Rice - Area watered (ha)","4247.1","85.58","Water use","Rice ","Area watered (ha)"
1,"New South Wales","Water use - Rice - Volume applied (ML)","54621.49","85.58","Water use","Rice ","Volume applied (ML)"
1,"New South Wales","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","3402802.4","7075.62","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
1,"New South Wales","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","86271.72","436.8","Water use","Cereals for grain or seed, excluding rice ","Area watered (ha)"
1,"New South Wales","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","216307.65","436.8","Water use","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
1,"New South Wales","Water use - Cotton - Total area grown (ha) (c)","54629.43","222.72","Water use","Cotton "," Total area grown (ha) (c)"
1,"New South Wales","Water use - Cotton - Area watered (ha)","39808.41","189.15","Water use","Cotton ","Area watered (ha)"
1,"New South Wales","Water use - Cotton - Volume applied (ML)","263721.27","189.15","Water use","Cotton ","Volume applied (ML)"
1,"New South Wales","Water use - Sugar cane - Total area grown (ha) (d)","21607.74","264.53","Water use","Sugar cane ","Total area grown (ha) (d)"
1,"New South Wales","Water use - Sugar cane - Area watered (ha)","473.24","24.19","Water use","Sugar cane ","Area watered (ha)"
1,"New South Wales","Water use - Sugar cane - Volume applied (ML)","2214.98","24.19","Water use","Sugar cane ","Volume applied (ML)"
1,"New South Wales","Water use - Other crops n.e.c. - Total area grown (ha) (e)","792163.87","3916.41","Water use","Other crops n.e.c.","Total area grown (ha) (e)"
1,"New South Wales","Water use - Other crops n.e.c. - Area watered (ha)","16440.86","114.15","Water use","Other crops n.e.c.","Area watered (ha)"
1,"New South Wales","Water use - Other crops n.e.c. - Volume applied (ML)","24959.05","114.15","Water use","Other crops n.e.c.","Volume applied (ML)"
101,"Central Tablelands","Water use - Total area watered (ha)","10515.49","216.35","Water use","",""
101,"Central Tablelands","Water use - Total volume applied (ML)","39563.71","216.35","Water use","",""
101,"Central Tablelands","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","1150316.48","2061.39","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
101,"Central Tablelands","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","382.58","17.92","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
101,"Central Tablelands","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","1178.73","17.92","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
101,"Central Tablelands","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","32476.08","513.23","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
101,"Central Tablelands","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","5320.86","80.35","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
101,"Central Tablelands","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","23580.18","80.35","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
101,"Central Tablelands","Water use - Vegetables - Total area grown (ha)","1497.8","25.83","Water use","Vegetables ","Total area grown (ha)"
101,"Central Tablelands","Water use - Vegetables - Area watered (ha)","1211.08","13.32","Water use","Vegetables ","Area watered (ha)"
101,"Central Tablelands","Water use - Vegetables - Volume applied (ML)","5932.76","13.32","Water use","Vegetables ","Volume applied (ML)"
101,"Central Tablelands","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","1396.96","109.95","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
101,"Central Tablelands","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","1084.53","69.36","Water use","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
101,"Central Tablelands","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","4196.47","69.36","Water use","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
101,"Central Tablelands","Water use - Grapevines - Total area grown (ha)","2594.28","114.89","Water use","Grapevines ","Total area grown (ha)"
101,"Central Tablelands","Water use - Grapevines - Area watered (ha)","1872.43","101.95","Water use","Grapevines ","Area watered (ha)"
101,"Central Tablelands","Water use - Grapevines - Volume applied (ML)","3135.65","101.95","Water use","Grapevines ","Volume applied (ML)"
101,"Central Tablelands","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","111.65","9.81","Water use","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
101,"Central Tablelands","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","111.32","8.71","Water use","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
101,"Central Tablelands","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","457.66","8.71","Water use","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
101,"Central Tablelands","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","86086.92","665.39","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
101,"Central Tablelands","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","509.4","17.86","Water use","Cereals for grain or seed, excluding rice ","Area watered (ha)"
101,"Central Tablelands","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","1031.54","17.86","Water use","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
101,"Central Tablelands","Water use - Other crops n.e.c. - Total area grown (ha) (e)","49612.94","423.76","Water use","Other crops n.e.c.","Total area grown (ha) (e)"
101,"Central Tablelands","Water use - Other crops n.e.c. - Area watered (ha)","23.29","2.59","Water use","Other crops n.e.c.","Area watered (ha)"
101,"Central Tablelands","Water use - Other crops n.e.c. - Volume applied (ML)","50.71","2.59","Water use","Other crops n.e.c.","Volume applied (ML)"
102,"Central West","Water use - Total area watered (ha)","16981.16","185.45","Water use","",""
102,"Central West","Water use - Total volume applied (ML)","68931","185.45","Water use","",""
102,"Central West","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","4077025.09","3117.32","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
102,"Central West","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","3437.4","61.1","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
102,"Central West","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","11107.94","61.1","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
102,"Central West","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","76812.09","400.84","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
102,"Central West","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","4328.6","67","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
102,"Central West","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","15509.82","67","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
102,"Central West","Water use - Vegetables - Total area grown (ha)","531.21","5.42","Water use","Vegetables ","Total area grown (ha)"
102,"Central West","Water use - Vegetables - Area watered (ha)","465.9","4.21","Water use","Vegetables ","Area watered (ha)"
102,"Central West","Water use - Vegetables - Volume applied (ML)","1388.38","4.21","Water use","Vegetables ","Volume applied (ML)"
102,"Central West","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","372.14","32.71","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
102,"Central West","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","318.7","15.56","Water use","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
102,"Central West","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","1742.17","15.56","Water use","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
102,"Central West","Water use - Grapevines - Total area grown (ha)","184.56","12.53","Water use","Grapevines ","Total area grown (ha)"
102,"Central West","Water use - Grapevines - Area watered (ha)","35.38","7.94","Water use","Grapevines ","Area watered (ha)"
102,"Central West","Water use - Grapevines - Volume applied (ML)","71.51","7.94","Water use","Grapevines ","Volume applied (ML)"
102,"Central West","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","121.7","8.26","Water use","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
102,"Central West","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","110.46","5.84","Water use","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
102,"Central West","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","344.79","5.84","Water use","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
102,"Central West","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","934339.14","1782.8","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
102,"Central West","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","4584.87","27.66","Water use","Cereals for grain or seed, excluding rice ","Area watered (ha)"
102,"Central West","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","18618.64","27.66","Water use","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
102,"Central West","Water use - Cotton - Total area grown (ha) (c)","3903.59","37.46","Water use","Cotton "," Total area grown (ha) (c)"
102,"Central West","Water use - Cotton - Area watered (ha)","1742.64","20.84","Water use","Cotton ","Area watered (ha)"
102,"Central West","Water use - Cotton - Volume applied (ML)","14113","20.84","Water use","Cotton ","Volume applied (ML)"
102,"Central West","Water use - Other crops n.e.c. - Total area grown (ha) (e)","183028.3","879.36","Water use","Other crops n.e.c.","Total area grown (ha) (e)"
102,"Central West","Water use - Other crops n.e.c. - Area watered (ha)","1957.21","8.16","Water use","Other crops n.e.c.","Area watered (ha)"
102,"Central West","Water use - Other crops n.e.c. - Volume applied (ML)","6034.74","8.16","Water use","Other crops n.e.c.","Volume applied (ML)"
103,"Greater Sydney","Water use - Total area watered (ha)","np","783.07","Water use","",""
103,"Greater Sydney","Water use - Total volume applied (ML)","np","783.07","Water use","",""
103,"Greater Sydney","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","35282.65","398.06","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
103,"Greater Sydney","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","653.09","38.61","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
103,"Greater Sydney","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","1864.09","38.61","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
103,"Greater Sydney","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","2095.86","58.5","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
103,"Greater Sydney","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","np","37.07","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
103,"Greater Sydney","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","np","37.07","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
103,"Greater Sydney","Water use - Vegetables - Total area grown (ha)","3063.88","482.14","Water use","Vegetables ","Total area grown (ha)"
103,"Greater Sydney","Water use - Vegetables - Area watered (ha)","2501.3","433.59","Water use","Vegetables ","Area watered (ha)"
103,"Greater Sydney","Water use - Vegetables - Volume applied (ML)","6898.73","433.59","Water use","Vegetables ","Volume applied (ML)"
103,"Greater Sydney","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","889.58","151.64","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
103,"Greater Sydney","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","764.63","82.97","Water use","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
103,"Greater Sydney","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","2353.76","82.97","Water use","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
103,"Greater Sydney","Water use - Grapevines - Total area grown (ha)","6.82","2.27","Water use","Grapevines ","Total area grown (ha)"
103,"Greater Sydney","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","2224.41","316.41","Water use","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
103,"Greater Sydney","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","1945.72","252.53","Water use","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
103,"Greater Sydney","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","7727.39","252.53","Water use","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
103,"Greater Sydney","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","316.91","3.74","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
103,"Greater Sydney","Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","230","2","Water use","Cereals for grain or seed, excluding rice ","Area watered (ha)"
103,"Greater Sydney","Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","1264","2","Water use","Cereals for grain or seed, excluding rice ","Volume applied (ML)"
103,"Greater Sydney","Water use - Other crops n.e.c. - Total area grown (ha) (e)","7.26","3.63","Water use","Other crops n.e.c.","Total area grown (ha) (e)"
104,"Hunter","Water use - Total area watered (ha)","np","517.42","Water use","",""
104,"Hunter","Water use - Total volume applied (ML)","np","517.42","Water use","",""
104,"Hunter","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","831579.64","1558.62","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
104,"Hunter","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","40411.45","242.76","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
104,"Hunter","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","63268.57","242.76","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
104,"Hunter","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","12952.12","385.02","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
104,"Hunter","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","7199.23","207.37","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
104,"Hunter","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","22484.35","207.37","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
104,"Hunter","Water use - Vegetables - Total area grown (ha)","74.01","19.37","Water use","Vegetables ","Total area grown (ha)"
104,"Hunter","Water use - Vegetables - Area watered (ha)","36.04","14.48","Water use","Vegetables ","Area watered (ha)"
104,"Hunter","Water use - Vegetables - Volume applied (ML)","62.33","14.48","Water use","Vegetables ","Volume applied (ML)"
104,"Hunter","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","446.68","72.22","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
104,"Hunter","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","250.13","31.59","Water use","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
104,"Hunter","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","776.43","31.59","Water use","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
104,"Hunter","Water use - Grapevines - Total area grown (ha)","2702.72","114.78","Water use","Grapevines ","Total area grown (ha)"
104,"Hunter","Water use - Grapevines - Area watered (ha)","2049.44","111.43","Water use","Grapevines ","Area watered (ha)"
104,"Hunter","Water use - Grapevines - Volume applied (ML)","3050.34","111.43","Water use","Grapevines ","Volume applied (ML)"
104,"Hunter","Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","206.91","34.57","Water use","Nurseries, cut flowers and cultivated turf ","Total area grown (ha)"
104,"Hunter","Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","np","24.09","Water use","Nurseries, cut flowers and cultivated turf ","Area watered (ha)"
104,"Hunter","Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","np","24.09","Water use","Nurseries, cut flowers and cultivated turf ","Volume applied (ML)"
104,"Hunter","Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","9394.1","88.26","Water use","Cereals for grain or seed, excluding rice ","Total area grown (ha)"
104,"Hunter","Water use - Other crops n.e.c. - Total area grown (ha) (e)","3002.67","42.59","Water use","Other crops n.e.c.","Total area grown (ha) (e)"
105,"Murray","Water use - Total area watered (ha)","79045.94","563.94","Water use","",""
105,"Murray","Water use - Total volume applied (ML)","191385.52","563.94","Water use","",""
105,"Murray","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha)","1921377.55","1759.18","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Total area grown (ha)"
105,"Murray","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha)","23829.99","360.3","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Area watered (ha)"
105,"Murray","Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML)","57876.78","360.3","Water use","Pastures (including lucerne) and cereal crops used for grazing or fed off ","Volume applied (ML)"
105,"Murray","Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","150609.14","1015.21","Water use"," Pastures (including lucerne), cereal and other crops cut for hay and silage ","Total area grown (ha)"
105,"Murray","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha)","18316.44","167.64","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Area watered (ha)"
105,"Murray","Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML)","35301.56","167.64","Water use","Pastures (including lucerne) and cereal crops cut for hay and silage ","Volume applied (ML)"
105,"Murray","Water use - Vegetables - Total area grown (ha)","691.21","23.12","Water use","Vegetables ","Total area grown (ha)"
105,"Murray","Water use - Vegetables - Area watered (ha)","653.75","16.3","Water use","Vegetables ","Area watered (ha)"
105,"Murray","Water use - Vegetables - Volume applied (ML)","3281.19","16.3","Water use","Vegetables ","Volume applied (ML)"
105,"Murray","Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","3886.97","31.81","Water use","Fruit trees, nut trees, plantation or berry fruits ","Total area grown (ha)"
105,"Murray","Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","3776.1","26.99","Water use","Fruit trees, nut trees, plantation or berry fruits ","Area watered (ha)"
105,"Murray","Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","22775.66","26.99","Water use","Fruit trees, nut trees, plantation or berry fruits ","Volume applied (ML)"
